time,x-rotation,y-rotation,z-rotation
27.560,-0.141,0.434,-0.046
27.600,-0.088,0.389,-0.019
27.640,-0.065,0.393,0.038
27.680,-0.095,0.431,0.042
27.720,-0.084,0.412,0.034
27.760,-0.122,0.412,0.015
27.800,-0.114,0.427,0.023
27.840,-0.145,0.434,-0.011
27.880,-0.084,0.450,0.015
27.920,-0.072,0.431,-0.011
27.960,-0.080,0.415,0.004
28.000,-0.095,0.408,0.027
28.040,-0.114,0.400,0.042
28.080,-0.103,0.438,-0.008
28.120,-0.057,0.427,0.038
28.160,-0.088,0.450,0.053
28.200,-0.168,0.423,-0.019
28.240,-0.130,0.389,0.023
28.280,-0.111,0.427,0.023
28.320,-0.103,0.465,-0.004
28.360,-0.088,0.419,0.065
28.400,-0.080,0.423,0.027
28.440,-0.114,0.393,-0.008
28.480,-0.118,0.423,-0.008
28.520,-0.095,0.419,0.050
28.560,-0.130,0.419,0.042
28.600,-0.118,0.373,0.046
28.640,-0.122,0.381,-0.004
28.680,-0.046,0.461,-0.004
28.720,-0.099,0.415,0.046
28.760,-0.137,0.396,-0.004
28.800,-0.099,0.415,-0.019
28.840,-0.088,0.415,0.019
28.880,-0.107,0.389,0.038
28.920,-0.076,0.423,0.030
28.960,-0.103,0.427,-0.008
29.000,-0.137,0.434,0.011
29.040,-0.080,0.434,0.042
29.080,-0.111,0.412,0.061
29.120,-0.088,0.408,0.000
29.160,-0.091,0.415,0.019
29.200,-0.111,0.431,0.008
29.240,-0.137,0.423,-0.030
29.280,-0.088,0.393,-0.023
29.320,-0.126,0.415,0.038
29.360,-0.122,0.389,0.008
29.400,-0.152,0.408,0.011
29.440,-0.133,0.415,0.015
29.480,-0.076,0.438,0.004
29.520,-0.107,0.450,0.008
29.560,-0.099,0.415,0.015
29.600,-0.145,0.389,-0.011
29.640,-0.099,0.404,0.000
29.680,-0.103,0.412,0.030
29.720,-0.111,0.389,0.019
29.760,-0.133,0.415,0.053
29.800,-0.149,0.419,0.023
29.840,-0.149,0.434,0.004
29.880,-0.175,0.385,0.030
29.920,-0.126,0.415,0.034
29.960,-0.111,0.427,0.053
30.000,-0.122,0.389,-0.011
30.040,-0.156,0.412,0.015
30.080,-0.126,0.465,0.011
30.120,-0.103,0.404,0.030
30.160,-0.133,0.389,0.034
30.200,-0.137,0.400,0.004
30.240,-0.141,0.393,-0.011
30.280,-0.114,0.389,0.011
30.320,-0.126,0.476,-0.011
30.360,-0.088,0.434,0.004
30.400,-0.088,0.408,-0.015
30.440,-0.130,0.393,-0.023
30.480,-0.076,0.396,0.030
30.520,-0.046,0.434,0.000
30.560,-0.111,0.465,0.030
30.600,-0.099,0.434,0.019
30.640,-0.084,0.408,0.023
30.680,-0.080,0.446,-0.072
30.720,-0.099,0.434,0.019
30.760,-0.084,0.373,0.057
30.800,-0.111,0.408,0.000
30.840,-0.171,0.415,0.019
30.880,-0.095,0.423,0.023
30.920,-0.118,0.400,0.042
30.960,-0.149,0.423,0.019
31.000,-0.084,0.438,-0.004
31.040,-0.053,0.438,-0.038
31.080,-0.091,0.404,-0.019
31.120,-0.088,0.400,0.042
31.160,-0.164,0.404,0.015
31.200,-0.111,0.415,0.019
31.240,-0.095,0.415,0.019
31.280,-27.778,1.441,-31.494
31.320,-89.832,-0.736,-111.010
31.360,8.319,-2.005,15.499
31.400,-36.200,-7.908,-29.562
31.440,-36.856,-77.992,-38.011
31.480,42.550,-99.390,-38.083
31.520,61.208,-121.094,-46.795
31.560,55.972,-124.874,-54.783
31.600,44.360,-121.391,7.774
31.640,45.938,-99.184,41.353
31.680,54.028,-71.456,29.455
31.720,53.990,-37.496,31.989
31.760,31.258,4.962,58.697
31.800,13.822,36.185,50.560
31.840,20.819,42.546,0.271
31.880,16.879,44.188,-1.593
